t,dx,dy,dz,ax,ay,az
5.94,1.73213,-7.87503,-24.55321,14.69977,67.69892,0.99998
5.96,1.77152,-7.79989,-24.49992,37.8994,0.2,-28.69954
5.98,1.82572,-7.72565,-24.45624,57.89908,-77.39877,-40.49936
6,1.89783,-7.6727,-24.42579,25.49959,-58.39907,-23.49963
6.02,1.9804,-7.64071,-24.40568,-4.09993,-15.69975,-16.69973
6.04,2.06039,-7.61298,-24.3905,-42.79932,47.09925,6.69989
6.06,2.13007,-7.56988,-24.3732,-13.29979,74.9988,23.69962
6.08,2.19374,-7.51388,-24.34635,9.49985,-68.29892,40.49936
6.1,2.26026,-7.47062,-24.30555,22.99963,-65.99895,33.89946
6.12,2.33102,-7.44584,-24.2525,-12.89979,15.29976,13.39979
6.14,2.40098,-7.4218,-24.19378,-4.99992,27.79956,-4.79992
6.16,2.46943,-7.38618,-24.1373,7.99987,44.69929,-27.09957
6.18,2.54106,-7.33709,-24.09102,20.99967,17.29972,-43.8993
6.2,2.62147,-7.28595,-24.0574,37.99939,-58.99906,-12.4998
6.22,2.71666,-7.25225,-24.02941,50.99919,-73.89882,11.79981
6.24,2.8274,-7.24139,-23.9955,15.69975,-21.79965,47.19925
6.26,2.94604,-7.23756,-23.94451,-3.19995,47.09925,63.69899
6.28,3.06448,-7.21837,-23.87386,-11.09982,80.89871,21.19966
6.3,3.18042,-7.17683,-23.79315,0.49999,14.39977,-6.3999
6.32,3.29608,-7.13068,-23.71572,7.59988,-63.69899,-41.99933
6.34,3.41364,-7.09884,-23.65385,3.49994,-30.39952,-66.09895
6.36,3.5317,-7.07901,-23.6149,-9.49985,4.29993,-55.79911
6.38,3.64782,-7.05401,-23.59863,-3.59994,73.29884,-49.9992
6.4,3.7621,-7.00841,-23.60139,-1.59997,54.79913,-35.29944
6.42,3.87606,-6.9507,-23.61785,3.79994,-61.89901,-17.29972
6.44,3.99144,-6.90328,-23.64127,8.49986,-34.09945,-0.49999
6.46,4.10833,-6.86891,-23.66482,-5.59991,-0.59999,16.09974
6.48,4.22189,-6.83348,-23.68379,-30.39952,45.69927,13.19979
6.5,4.32458,-6.78093,-23.69704,-42.09933,80.19872,13.99978
6.52,4.41335,-6.70388,-23.7049,-24.39961,38.69938,11.69981
