t,dx,dy,dz,ax,ay,az
2.310000,-9.29611576,-6.62288458,-11.93900561,237.55630000,22.29374000,-21.14338000
2.320000,-9.83869724,-6.55859635,-12.01704818,282.83630000,10.64374000,-55.93338000
2.330000,-10.35348311,-6.49343822,-12.10064506,304.53630000,-12.81626000,-87.61338000
2.340000,-10.83871312,-6.42899767,-12.19220651,286.26630000,-17.74626000,-85.87338000
2.350000,-11.29582552,-6.36671997,-12.29138627,243.57630000,-42.23626000,-43.82338000
2.360000,-11.72927656,-6.31117362,-12.39513609,168.97630000,-171.06626000,-7.73338000
2.370000,-12.14559275,-6.27057711,-12.50092497,99.80630000,-217.65626000,-20.72338000
2.380000,-12.55025883,-6.24499544,-12.60826143,93.35630000,1.75374000,-11.17338000
2.390000,-12.94471780,-6.21850862,-12.71516594,117.70630000,246.32374000,61.89662000
2.400000,-13.32819091,-6.17435565,-12.81639427,106.60630000,208.21374000,115.97662000
2.410000,-13.70156692,-6.11144251,-12.90740116,68.90630000,83.62374000,116.55662000
2.420000,-14.06717231,-6.03579997,-12.98675287,62.34630000,129.68374000,118.66662000
2.430000,-14.42633385,-5.94778653,-13.05349489,60.09630000,147.81374000,152.04662000
2.440000,-14.78004128,-5.84764518,-13.10503273,31.56630000,55.77374000,186.95662000
2.450000,-15.12995585,-5.73994192,-13.13838588,24.42630000,39.08374000,202.97662000
2.460000,-15.47704182,-5.62552826,-13.15121409,28.66630000,130.44374000,229.63662000
2.470000,-15.82086767,-5.49807344,-13.14068637,44.58630000,217.64374000,273.53662000
2.480000,-16.15928167,-5.35297172,-13.10399646,94.57630000,136.11374000,271.32662000
2.490000,-16.48899181,-5.19792409,-13.04193486,110.35630000,-96.06626000,200.22662000
2.500000,-16.80828384,-5.04988230,-12.95957433,97.37630000,-228.24626000,141.72662000
2.510000,-17.11683676,-4.91985586,-12.86154736,120.39630000,-172.08626000,144.52662000
2.520000,-17.41339758,-4.80536252,-12.74909196,137.45630000,-52.93626000,147.90662000
2.530000,-17.69686003,-4.69746901,-12.62300137,124.56630000,9.93374000,106.61662000
2.540000,-17.96766438,-4.59281511,-12.48644810,115.67630000,-100.54626000,58.91662000
2.550000,-18.22703112,-4.50158354,-12.34389339,97.52630000,-349.76626000,17.15662000
2.560000,-18.47642325,-4.43930107,-12.20001749,84.19630000,-361.91626000,-38.83338000
2.570000,-18.71610578,-4.40438045,-12.05928041,118.40630000,-24.90626000,-63.49338000
2.580000,-18.94386619,-4.37407842,-11.92357764,151.81630000,222.95374000,-34.00338000
2.590000,-19.15754625,-4.32878948,-11.79167544,137.11630000,174.44374000,-18.97338000
2.600000,-19.35775995,-4.26879589,-11.66308655,108.54630000,12.31374000,-59.03338000
2.610000,-19.54631604,-4.20590589,-11.54030722,108.03630000,-87.24626000,-93.79338000
2.620000,-19.72331777,-4.14908298,-11.42533871,133.49630000,-84.53626000,-64.26338000
2.630000,-19.88716290,-4.10016667,-11.31684451,147.17630000,-63.97626000,-35.10338000
2.640000,-20.03614467,-4.05717446,-11.21333938,162.62630000,-28.50626000,-63.54338000
2.650000,-20.16850857,-4.01788809,-11.11592206,188.22630000,-31.27626000,-79.77338000
2.660000,-20.28294238,-3.98510081,-11.02544480,174.06630000,-172.93626000,-52.96338000
2.670000,-20.38000407,-3.96816737,-10.94100636,154.46630000,-261.03626000,-54.30338000
2.680000,-20.46028615,-3.97194754,-10.86325873,184.12630000,-137.56626000,-104.51338000
2.690000,-20.52164913,-3.98817904,-10.79526666,229.98630000,34.08374000,-125.34338000
2.700000,-20.56054725,-4.00448939,-10.73822916,250.43630000,62.21374000,-81.43338000
2.710000,-20.57531826,-4.01785733,-10.68976548,230.16630000,-44.84626000,-53.19338000
2.720000,-20.56694991,-4.03428462,-10.64791061,210.74630000,-98.92626000,-74.98338000
2.730000,-20.53632320,-4.05755575,-10.61266830,234.61630000,-35.08626000,-59.79338000
2.740000,-20.48260639,-4.08480098,-10.58188381,239.56630000,6.10374000,17.80662000
2.750000,-20.40642221,-4.11245205,-10.55013938,180.88630000,2.61374000,64.12662000
2.760000,-20.31231893,-4.13899596,-10.51360701,111.36630000,28.92374000,47.00662000
2.770000,-20.20648830,-4.16300572,-10.47217646,61.41630000,36.87374000,39.33662000
2.780000,-20.09425055,-4.18501558,-10.42590222,18.02630000,-26.70626000,69.61662000
2.790000,-19.97990269,-4.20908702,-10.37299055,-17.12370000,-69.95626000,88.47662000
2.800000,-19.86670423,-4.23690457,-10.31192719,-33.81370000,12.74374000,81.04662000
2.810000,-19.75674691,-4.26288945,-10.24248264,-48.95370000,113.74374000,86.22662000
2.820000,-19.65215473,-4.28099293,-10.16436716,-86.94370000,70.99374000,94.88662000
2.830000,-19.55582594,-4.29307926,-10.07771974,-111.75370000,-19.07626000,66.82662000
2.840000,-19.46972230,-4.30495192,-9.98445839,-102.61370000,-28.32626000,37.56662000
2.850000,-19.39453179,-4.31927519,-9.88641710,-123.60370000,-26.32626000,50.78662000
2.860000,-19.33226993,-4.33598329,-9.78302262,-171.38370000,-18.44626000,76.53662000
2.870000,-19.28591621,-4.35296249,-9.67235021,-174.01370000,48.34374000,88.80662000
2.880000,-19.25638513,-4.36642129,-9.55323736,-157.55370000,58.54374000,85.01662000
2.890000,-19.24299319,-4.37732593,-9.42612783,-160.50370000,-67.29626000,62.57662000
2.900000,-19.24506915,-4.39441241,-9.29268211,-144.21370000,-175.25626000,44.82662000
2.910000,-19.26095475,-4.42465299,-9.15436746,-107.51370000,-112.38626000,44.07662000
