t,dx,dy,dz,ax,az
3.08,-19.96058835,-4.53765373,-7.39773386,99.4663,-156.66338
3.09,-19.99298375,-4.51692401,-7.40841811,100.1763,-239.52338
3.1,-20.0143498,-4.50124937,-7.44174142,137.2963,-268.30338
3.11,-20.02189348,-4.48300159,-7.4993738,174.0663,-194.68338
3.12,-20.01388031,-4.45492089,-7.57561099,132.7863,-84.97338
3.13,-19.99415827,-4.42367754,-7.66133999,24.6563,-13.49338
3.14,-19.97091338,-4.40305479,-7.75056331,-45.2437,-26.26338
3.15,-19.95061314,-4.39625413,-7.84296894,-56.0137,-59.72338
3.16,-19.93687053,-4.39270306,-7.93905088,-109.0937,0.20662
3.17,-19.93414631,-4.37669084,-8.03391139,-170.5937,109.71662
3.18,-19.94675249,-4.33468621,-8.11935047,-166.9937,158.76662
3.19,-19.97595831,-4.26472293,-8.19071185,-163.4637,137.40662
3.2,-20.02215902,-4.18275524,-8.24827756,-189.9337,119.79662
3.21,-20.08803238,-4.11416664,-8.29265507,-247.6337,152.07662
3.22,-20.17958962,-4.07508589,-8.3215754,-346.2137,195.88662
3.23,-20.30511851,-4.06112374,-8.33161879,-422.8637,212.77662
3.24,-20.47020029,-4.05406967,-8.32235025,-394.2337,152.58662
3.25,-20.67183521,-4.03236445,-8.29977327,-254.8537,15.93662
3.26,-20.89844377,-3.97621358,-8.27489386,-99.0637,-90.81338
3.27,-21.13691897,-3.8779453,-8.25750051,-25.7437,-132.20338
3.28,-21.38002682,-3.74828436,-8.25242822,-38.8137,-136.07338
3.29,-21.62666006,-3.60296952,-8.26077175,-41.7037,-130.73338
3.3,-21.87554919,-3.44663702,-8.28329984,27.9263,-168.29338
3.31,-22.12162246,-3.27546537,-8.32259775,94.4263,-201.92338
3.32,-22.35936937,-3.09149431,-8.38020897,112.2163,-158.84338
3.33,-22.58537768,-2.9087616,-8.454305,146.6263,-138.23338
3.34,-22.79556662,-2.74292248,-8.54491085,223.2463,-223.53338
3.35,-22.98275196,-2.59413445,-8.65798076,322.9663,-311.71338
3.36,-23.13811544,-2.44351227,-8.79970674,399.6363,-297.73338
3.37,-23.25536356,-2.26919618,-8.96933528,398.3163,-207.37338
3.38,-23.33328383,-2.06333619,-9.16053638,372.7863,-148.87338
3.39,-23.37334899,-1.83613454,-9.36859005,366.2563,-167.43338
3.4,-23.37737128,-1.61005373,-9.59319878,332.3563,-176.91338
3.41,-23.34792972,-1.40596752,-9.83420258,303.5263,-132.99338
3.42,-23.28710131,-1.22929541,-10.08878444,312.0063,-98.67338
3.43,-23.19603303,-1.07123838,-10.35384687,277.9963,-87.33338
3.44,-23.0781739,-0.92000345,-10.6272701,199.5763,-59.54338
3.45,-22.9390524,-0.76679112,-10.90670391,169.2863,-32.45338
3.46,-22.7816618,-0.60595063,-11.19059402,188.5563,-52.25338
3.47,-22.60536759,-0.43286223,-11.4805147,205.6863,-102.71338
3.48,-22.40918503,-0.24365243,-11.77987395,191.5463,-118.31338
3.49,-22.1949196,-0.04130498,-12.09005751,130.4763,-92.08338
3.5,-21.96756657,0.16291064,-12.40971463,66.9463,-74.91338
3.51,-21.73227143,0.36110141,-12.73723232,49.2563,-70.96338
3.52,-21.49172943,0.55620858,-13.07137007,40.3563,-46.41338
3.53,-21.24747207,0.75546591,-13.40980788,14.5863,-6.66338
3.54,-21.00149861,0.9627344,-13.74932701,-4.9437,18.03662
3.55,-20.75628178,1.17155929,-14.0874867,-39.0237,26.51662
3.56,-20.5150851,1.35963234,-14.42307346,-81.8737,33.39662
3.57,-20.28143406,1.50041029,-14.75532303,-103.1137,41.72662
3.58,-20.05839916,1.58369115,-15.08306316,-140.6037,65.07662
3.59,-19.8496329,1.62030766,-15.40343386,-190.4837,124.44662
3.6,-19.65904729,1.63257983,-15.71086113,-209.7137,205.31662
3.61,-19.48856757,1.63984291,-15.99880495,-198.3837,245.80662
3.62,-19.33767199,1.64206339,-16.26444884,-180.9437,196.61662
3.63,-19.20591105,1.62083178,-16.5104898,-209.1737,146.62662
3.64,-19.0959885,1.56385632,-16.73866557,-278.3037,226.28662
3.65,-19.01203035,1.47848577,-16.94316615,-276.8537,349.35662
3.66,-18.95234008,1.38101513,-17.1148093,-142.7637,390.84662
3.67,-18.90647096,1.28605189,-17.24854026,5.4763,386.98662
3.68,-18.86286323,1.20146156,-17.34434078,37.2963,353.94662
3.69,-18.81665464,1.12824388,-17.40452562,19.9063,331.29662
3.7,-18.7664972,1.06939511,-17.42985203,76.7863,379.34662
3.71,-18.70721714,1.03206324,-17.41785574,187.3663,404.46662
3.72,-18.63037373,1.01943253,-17.36692478,246.9563,370.65662
3.73,-18.53096346,1.02849198,-17.27799737,217.3363,375.62662
3.74,-18.41077333,1.05327933,-17.15105753,145.5063,400.13662
3.75,-18.27595459,1.08612334,-16.98566675,72.7363,363.68662
3.76,-18.13372575,1.11949525,-16.78511854,1.3663,280.33662
3.77,-17.99145505,1.15141132,-16.55627839,-77.8537,208.86662
3.78,-17.85683974,1.18931105,-16.30514856,-155.9337,195.06662
3.79,-17.73669407,1.24367468,-16.03400029,-193.1237,203.28662
3.8,-17.63464604,1.31790621,-15.74366708,-185.7837,167.30662
3.81,-17.5516239,1.4108679,-15.43637769,-200.4037,141.89662
3.82,-17.48946116,1.52679675,-15.11356861,-251.8437,171.23662
3.83,-17.45146106,1.67378301,-14.77441385,-266.4737,171.00662
3.84,-17.4385191,1.84955317,-14.4196734,-221.5937,111.72662
3.85,-17.44798028,2.03207748,-14.05383526,-190.5237,50.99662
3.86,-17.47836385,2.1916542,-13.68269769,-238.3137,-0.19338
3.87,-17.53384457,2.31847158,-13.31119418,-340.7937,-34.42338
3.88,-17.62226843,2.43513686,-12.94125498,-401.8837,8.01662
3.89,-17.74759468,2.57274605,-12.5697021,-335.5937,84.48662
